#1 Driver,Lightning,Fairway Driver,""
Lynx,Innova,Mid-Range,""
M Model Mid Range OS,ACE Disc Sports,Mid-Range,""
M Model OS,Prodigy Disc,Mid-Range,"6, 4, -1, 3"
M Model S,Prodigy Disc,Mid-Range,"6, 4, 0, 3"
M Model US,Prodigy Disc,Mid-Range,"4, 5, -1, 1"
M1,Prodigy Disc,Mid-Range,"5, 4, 0, 3"
M2,Prodigy Disc,Mid-Range,"5, 4, 0, 2"
M3,Prodigy Disc,Mid-Range,"5, 5, -1, 2"
M4,Prodigy Disc,Mid-Range,"5, 5, -1, 1"
M5,Prodigy Disc,Mid-Range,"5, 5, -3, 1"
Macana,Latitude 64,Putt & Approach,"2, 5, 0, 1"
Mace,Latitude 64,Mid-Range,"5, 5, 0, 2"
Machete,Discraft,Distance Driver,"11, 4, 0, 4"
Maestro,Discmania,Mid-Range,"4, 3, 0, 2"
Magic,Gateway,Putt & Approach,"2, 3, -1, 0"
Magician,Discmania,Fairway Driver,"6, 4, 0, 2"
Magnet,Discraft,Putt & Approach,"2, 3, -1, 2"
Magneton,Galaxy,Putt & Approach,""
Maiden,Westside,Putt & Approach,"3, 4, 0, 1"
Majesty,Discmania,Distance Driver,"13, 5, -2, 2"
Mako,Innova,Mid-Range,"4, 5, 0, 0"
Mako3,Innova,Mid-Range,"5, 4, 0, 0"
Malta,Discraft,Mid-Range,"5, 4, 1, 3"
Mamba,Innova,Distance Driver,"11, 6, -5, 1"
Mammoth,Daredevil,Distance Driver,"9, 4, -1, 5"
Manta,Innova,Mid-Range,"5, 5, -3, 1"
Mantis,Discraft,Fairway Driver,"8, 4, -2, 2"
Mantra,Thought Space Athletics,Fairway Driver,"9, 6, -2, 1"
Marauder,Discraft,Fairway Driver,""
Marshal,Dynamic Discs,Putt & Approach,"3, 4, 0, 1"
Matrix,MVP,Mid-Range,"5, 4, -1, 2"
Maul,Latitude 64,Fairway Driver,"7, 7, -2, 1"
Maverick,Dynamic Discs,Fairway Driver,"7, 4, -1, 2"
Max,Innova,Distance Driver,"11, 3, 0, 5"
Maximizer,GGGT,Fairway Driver,""
Maya,Infinite Discs,Distance Driver,"12, 5, -3, 1"
Mayhem,Axiom,Distance Driver,"13, 5, -1, 2"
McPro Aviar,Innova,Putt & Approach,""
MD,Discmania,Mid-Range,"4, 5, 0, 0"
MD1,Discmania,Mid-Range,"4, 4, 0, 2"
MD2 Fiend,Discmania,Mid-Range,"4, 5, 0, 2"
MD3,Discmania,Mid-Range,"5, 5, 0, 2"
MD4,Discmania,Mid-Range,"5, 4, 0, 3"
Medius,Latitude 64,Mid-Range,"5, 5, -1, 2"
Medusa,Skyquest,Distance Driver,"11, 5, -2, 2"
Mentor,Discmania,Distance Driver,"11, 5, -2, 2"
Merc,DKG,Distance Driver,""
Mercury,Pacific Cycle,Putt & Approach,""
Mercy,Latitude 64,Putt & Approach,"2, 4, 0, 1"
Merlin,Daredevil,Distance Driver,"14, 4, -1, 5"
Meteor,Discraft,Mid-Range,"5, 5, -3, 1"
Meteor Hammer ( 星锤),YiKun,Distance Driver,"[0, 0, 0, 0]"
Meteorite,Galaxy,Distance Driver,""
Method,Discmania,Mid-Range,"5, 5, 0, 3"
Mid Range Approach,Wham-O,Mid-Range,""
MIDARi,Prodiscus,Mid-Range,"5, 4, -1, 2"
Midgard,Guru,Fairway Driver,""
Midknight,Black Jax Sports,Fairway Driver,""
Miracle,DKG,Fairway Driver,""
Mirage,Innova,Putt & Approach,"3, 4, -3, 0"
Mirage (Original),Innova,Putt & Approach,""
Mirus,Latitude 64,Distance Driver,""
Missilen,Latitude 64,Distance Driver,"15, 3, 0, 4"
Mjolner,Guru,Putt & Approach,""
MOAB,Hyzer Bomb,Fairway Driver,"6, 4, 1, 5"
Model P,Prodigy Disc,Putt & Approach,""
Monarch,Innova,Distance Driver,"10, 5, -4, 1"
Money,ABC,Putt & Approach,""
Mongoose,Legacy,Distance Driver,"9, 5, -3, 1"
Monster,Innova,Distance Driver,"10, 3, 0, 5"
Monstrum,UB Disc Golf,Distance Driver,""
Moose,Daredevil,Mid-Range,"4, 5, 0, 2"
Moray,Innova,Mid-Range,""
Morningstar,Arsenal,Mid-Range,""
Mortar,Hyzer Bomb,Mid-Range,"5, 4, 0, 3"
Motion,MVP,Distance Driver,"9, 4, 0, 4"
MR-5 Skylark,Disctroyer,Mid-Range,""
MRV,Discraft,Mid-Range,""
MRX,Discraft,Mid-Range,""
Musket,Latitude 64,Fairway Driver,"10, 5, 0, 2"
Mustang,Mint Discs,Mid-Range,"5, 5, 0, 2"
MX-1,Lightning,Distance Driver,""
MX-3,Prodigy Disc,Mid-Range,"5, 4, 0, 2"
Mystere,Innova,Distance Driver,"11, 6, -2, 2"
Mystic,Gateway,Mid-Range,"5, 5, -3, 0"
Myth,Infinite Discs,Putt & Approach,"2, 3, 0, 2"
Napalm,Salient Discs,Distance Driver,""
Narwhal,Divergent Discs,Putt & Approach,"3, 3, -2, 0"
Navigator,Full Turn Discs,Mid-Range,""
Nebula,Discraft,Mid-Range,"5, 4, 0, 2"
Nemesis,Legacy,Distance Driver,"10, 6, -4, 2"
Ninja,Gateway,Distance Driver,"11, 5, 0, 2"
Ninja (New),Gateway,Distance Driver,""
Nitro,MVP,Distance Driver,"13, 4, 0, 3"
Nordic Warrior,Viking,Mid-Range,""
Northman,Westside,Distance Driver,"10, 5, -1, 2"
Notch,Vibram,Fairway Driver,"7, 3, 0, 4"
Nova,Innova,Putt & Approach,"2, 3, 0, 0"
Nuke,Discraft,Distance Driver,"13, 5, -1, 3"
Nuke OS,Discraft,Distance Driver,"13, 4, 0, 4"
Nuke SS,Discraft,Distance Driver,"13, 5, -3, 3"
O-Lace,Vibram,Distance Driver,"13, 5, -1, 3"
Obex,Vibram,Mid-Range,"5, 4, 0, 3"
Octane,MVP,Distance Driver,"13, 5, -1, 2"
Odyssey Control Driver,Quest AT,Fairway Driver,""
Odyssey Midrange & Approach,Quest AT,Mid-Range,""
Odyssey Power Driver,Quest AT,Distance Driver,""
Odyssey True Line Putter,Quest AT,Putt & Approach,""
Odyssey Ultra Long-Range Driver,Quest AT,Distance Driver,""
Ogopogo,Daredevil,Distance Driver,"9, 4, -2, 5"
Ohm,MVP,Putt & Approach,"2, 5, 0, 1"
Omega AP,Millennium,Putt & Approach,"2, 3, 0, 0"
Omega Big Bead,Millennium,Putt & Approach,"2, 3, -1, 1"
Omega Super Soft Putter,Millennium,Putt & Approach,""
Onyx,Vibram,Fairway Driver,"8, 6, -3, 1"
Optimizer,GGGT,Mid-Range,""
Oracle,CHING,Mid-Range,"4, 4, -1, 1"
Orbit,Galaxy,Mid-Range,""
Orbital,MVP,Distance Driver,"11, 5, -4, 1"
Orc,Innova,Distance Driver,"10, 4, -1, 3"
Orca,Wild Discs,Distance Driver,"12, 5, -1, 2"
Origin,Discmania,Mid-Range,"5, 5, -1, 1"
Orion LF,Millennium,Distance Driver,"9, 5, -1, 3"
Orion LS,Millennium,Distance Driver,"9, 5, -2, 2"
Osprey,AquaFlight Discs,Distance Driver,""
Outlaw,Legacy,Distance Driver,"12, 5, -1, 3"
P Model Putter OS,ACE Disc Sports,Putt & Approach,""
P Model US,Prodigy Disc,Putt & Approach,"3, 5, -1, 1"
P1 Maniac,Discmania,Putt & Approach,""
P1x,Discmania,Putt & Approach,"2, 3, 0, 1"
P2 Psycho,Discmania,Putt & Approach,""
P3,Discmania,Putt & Approach,"3, 5, 0, 3"
P3X,Discmania,Putt & Approach,"3, 2, 0, 3"
PA-3 Sparrow,Disctroyer,Putt & Approach,""
PA1,Prodigy Disc,Putt & Approach,""
PA2,Prodigy Disc,Putt & Approach,""
PA3,Prodigy Disc,Putt & Approach,""
PA4,Prodigy Disc,Putt & Approach,""
Pain,Latitude 64,Mid-Range,"4, 4, 0, 3"
Panic,Axiom,Distance Driver,"13, 4, 0, 3"
Panther,Innova,Mid-Range,"5, 4, -2, 1"
Panzer Tank,Hyzer Bomb,Putt & Approach,""
Particle,MVP,Putt & Approach,"3, 3, 0, 2"
Passport,Full Turn Discs,Mid-Range,""
Pathfinder,Thought Space Athletics,Mid-Range,"5, 5, 0, 1"
Patriot,Legacy,Fairway Driver,"7, 5, -2, 1"
PD Freak,Discmania,Distance Driver,"10, 4, 0, 3"
PD2 Chaos,Discmania,Distance Driver,"12, 4, 0, 4"
PD3,Discmania,Distance Driver,"11, 3, 0, 5"
PDx,Discmania,Distance Driver,"11, 4, 0, 3"
Peace Frog,AquaFlight Discs,Putt & Approach,""
Pearl,Latitude 64,Mid-Range,"4, 6, -4, 0"
Pegasus,Innova,Fairway Driver,"7, 4, -1, 3"
Pelican,AquaFlight Discs,Fairway Driver,""
Penrose,EV-7,Putt & Approach,"2, 4, 0, 2"
Phantom Deuce,Innova,Mid-Range,""
Pharaoh,Infinite Discs,Distance Driver,"13, 6, -1, 2"
Phase,MVP,Distance Driver,"11, 4, 0, 4"
Phenix,Innova,Fairway Driver,""
Phenom,Legacy,Fairway Driver,"8, 5, -1, 2"
Photon,MVP,Distance Driver,"11, 5, -1, 2"
Pig,Innova,Putt & Approach,"3, 1, 0, 3"
Pilot,Streamline,Putt & Approach,"2, 5, 0, 1"
PinDRAGON,Black Jax Sports,Mid-Range,""
Pine,Westside,Mid-Range,"5, 4, 0, 2"
Pioneer,Latitude 64,Fairway Driver,"9, 3, 0, 4"
Pipeline,DGA,Fairway Driver,"8, 5, 0, 2"
Piranha,Innova,Putt & Approach,""
Piwakawaka,RPM Discs,Mid-Range,"4, 5, 0, 0"
Pluto,Pacific Cycle,Fairway Driver,""
Plutonium,Element Discs,Putt & Approach,"3, 3, 0, 1"
Polar Bear,Daredevil,Putt & Approach,"2, 3, -1, 1"
Polaris LF,Millennium,Fairway Driver,"9, 5, -2, 2"
Polaris LS,Millennium,Fairway Driver,"8, 5, -2, 1"
Polecat,Innova,Putt & Approach,"1, 3, 0, 0"
Powerdrive Gumbputt,DGA,Putt & Approach,"2, 2, -2, 1"
Precision,CHING,Mid-Range,"5, 4, -1, 2"
Predator,Discraft,Fairway Driver,"9, 4, 0, 4"
Primitus,Latitude 64,Distance Driver,"9, 5, 0, 2"
Procul,UB Disc Golf,Distance Driver,""
Profit,Mint,Putt & Approach,""
Prometheus,Salient Discs,Distance Driver,""
Proof,Dynamic Discs,Mid-Range,"5, 5, -3, 1"
Prophecy,Gateway,Mid-Range,"5, 5, 0, 2"
Protege,DKG,Distance Driver,""
Prowler,Legacy,Putt & Approach,"2, 3, 0, 1"
Proxy,Axiom,Putt & Approach,"3, 3, -1, 0"
Pteranodon,Daredevil,Mid-Range,"4, 6, -2, 1"
Ptero,Reptilian Disc Golf,Fairway Driver,"7, 5, -1, 1"
Pulse,Discraft,Distance Driver,"11, 4, 0, 3"
Puma,Innova,Mid-Range,""
Punisher,Discraft,Distance Driver,"12, 5, 0, 3"
Pure,Latitude 64,Putt & Approach,"3, 3, -1, 1"
Pure O.G.,Fly High Discs,Mid-Range,""
Pursuit,Legacy,Mid-Range,"5, 3, 0, 3"
Putt r,Discraft,Putt & Approach,""
Putter,Wham-O,Putt & Approach,""
Pyro,Axiom,Mid-Range,"5, 4, 0, 2"
Python,Innova,Mid-Range,"7, 3, -1, 2"
Qi,Yikun,Distance Driver,"13, 6, -2, 2"
Quake,DGA,Mid-Range,"5, 3, 0, 3"
Quarter K,Discwing,Distance Driver,""
Quarter K II,Discwing,Distance Driver,""
Quasar,Millennium,Distance Driver,"13, 5, -1, 4"
Queen,Westside,Distance Driver,"14, 5, -3, 2"
Ra,Infinite Discs,Mid-Range,"5, 4, 0, 2"
Radium,Element Discs,Mid-Range,"6, 4, -1, 2"
Radius,1080 Disc Golf,Putt & Approach,""
Rage,Gateway,Distance Driver,"10, 5, 0, 3"
Raging Inferno,Quest AT,Distance Driver,"12, 4, 2, 2"
Raging Inferno DT,Quest AT,Distance Driver,""
Ragnarok,Viking,Distance Driver,""
Raider,Dynamic Discs,Distance Driver,"13, 5, 0, 3"
Raketen,Latitude 64,Distance Driver,"15, 4, -2, 3"
Ram,Innova,Fairway Driver,"6, 4, 1, 4"
Rampage,Legacy,Distance Driver,"14, 5, -1, 4"
Raptor,Discraft,Fairway Driver,"9, 4, 0, 3"
Raptor-X,Innova,Distance Driver,""
Rask,Kastaplast,Distance Driver,"14, 3, 0, 4"
Rat,Innova,Putt & Approach,"4, 2, 0, 3"
Rattler,Discraft,Putt & Approach,"2, 3, -1, 1"
Raven,Innova,Fairway Driver,"6, 4, -2, 2"
RAZERi,Prodiscus,Distance Driver,"12, 5, 0, 3"
Reactor,MVP,Mid-Range,"5, 5, 0, 1"
Reaper,Discraft,Fairway Driver,"8, 3, 0, 4"
Recoil,Latitude 64,Distance Driver,"12, 4, 0, 3"
Reef,DGA,Putt & Approach,"2, 2, -1, 1"
Reign,Salient Discs,Distance Driver,""
Reko,Kastaplast,Putt & Approach,"3, 3, 0, 1"
Relativity,MVP,Distance Driver,"14, 5, -3, 1"
Relay,MVP,Fairway Driver,"6, 5, -2, 1"
Relic,RIP,Putt & Approach,"2, 2, -2, 2"
Renegade,Dynamic Discs,Distance Driver,"11, 5, -2, 3"
Resistor,MVP,Fairway Driver,"7, 4, 0, 3"
RESPECTi,Prodiscus,Distance Driver,"8, 4, 0, 2"
Rhyno,Innova,Putt & Approach,"2, 1, 0, 3"
Ridge,Vibram,Putt & Approach,"2, 3, 0, 1"
Rift,Obsidian Discs,Putt & Approach,""
Ringer,Discraft,Putt & Approach,"3, 4, 0, 2"
Ringer-GT,Discraft,Putt & Approach,"3, 3, 0, 3"
Riot,Latitude 64,Distance Driver,"11, 4, -1, 2"
Rippa,RPM Discs,Putt & Approach,""
Riptide,DGA,Distance Driver,"9, 4, 0, 3"
Rival,Legacy,Fairway Driver,"7, 5, 0, 2"
Rive,Latitude 64,Distance Driver,"13, 5, 0, 3"
River,Latitude 64,Fairway Driver,"7, 7, -1, 1"
River Pro,Latitude 64,Fairway Driver,"6, 5, 0, 2"
Roach,Discraft,Putt & Approach,"2, 4, 0, 1"
Roadrunner,Innova,Distance Driver,"9, 5, -4, 1"
Roc,Innova,Mid-Range,"4, 4, 0, 3"
Roc X3,Innova,Mid-Range,""
Roc3,Innova,Mid-Range,"5, 4, 0, 3"
Rock-It,Quest AT,Mid-Range,""
Rocket,Prodiscus,Fairway Driver,"9, 4, 0, 3"
Rockstar,Discmania,Fairway Driver,"8, 5, -2, 1"
Rogue,DGA,Distance Driver,"11, 4, -1, 2"
RT Albatross,Franklin,Fairway Driver,""
RT Nite Owl,Franklin,Putt & Approach,""
RT Sparrow,Franklin,Mid-Range,""
Rubber Putter,Lightning,Putt & Approach,""
Ruby,Latitude 64,Putt & Approach,"3, 5, -3, 1"
Ruin,Infinite Discs,Putt & Approach,"3, 3, 0, 3"
Rune,Viking,Putt & Approach,""
Runway,Streamline,Putt & Approach,"5, 4, 0, 3"
Ruru,RPM Discs,Putt & Approach,"3, 3, 0, 1"
Sabertooth,Daredevil,Distance Driver,"9, 4, 0, 5"
Sabre,Gateway,Fairway Driver,"8, 5, -1, 1"
Sail,DGA,Distance Driver,"11, 6, -3, 1"
Saint,Latitude 64,Distance Driver,"9, 7, -2, 2"
Saint Pro,Latitude 64,Distance Driver,"8, 6, 0, 3"
Sampo,Westside,Distance Driver,"10, 4, -1, 2"
Samurai,Gateway,Distance Driver,"13, 6, -2, 1"
Sapphire,Latitude 64,Distance Driver,"10, 6, -2, 1"
Sarek,Latitude 64,Putt & Approach,"2, 4, 0, 1"
Sasquatch,Daredevil,Distance Driver,"12, 5, -5, 1"
Saturn,Pacific Cycle,Mid-Range,""
Savage,Gateway,Distance Driver,""
Savant,Innova,Fairway Driver,"9, 5, -1, 2"
Scale,Reptilian Disc Golf,Putt & Approach,"2, 1, 0, 3"
Scarab,Infinite Discs,Putt & Approach,"2, 4, 0, 1"
Scarb,Infinite Discs,Putt & Approach,""
Scepter,Infinite Discs,Fairway Driver,"9, 4, 0, 4"
Sceptor,Infinite Discs,Fairway Driver,""
Scorcher,Quest AT,Distance Driver,""
Scorpion,Innova,Mid-Range,"5, 5, -1, 2"
Scorpius,Millennium,Distance Driver,"13, 4, -1, 3"
Scout,Gateway,Mid-Range,"6, 5, -1, 2"
Scream,Quest AT,Distance Driver,""
Scream DT,Quest AT,Distance Driver,""
Scream Max,Quest AT,Distance Driver,""
Scythe,Latitude 64,Distance Driver,"12, 3, 0, 4"
Sea Serpent,Discmania,Distance Driver,""
Secret Weapon,ABC,Distance Driver,"10, 5, -3, 2"
Seer,Westside,Fairway Driver,"7, 5, -2, 1"
Sensei,Discmania,Putt & Approach,"3, 3, 0, 1"
Sentinel MF,Millennium,Mid-Range,"5, 4, 0, 4"
Sergeant,Dynamic Discs,Distance Driver,"11, 4, 0, 2"
Serpent,Reptilian Disc Golf,Putt & Approach,"2, 2, 0, 0"
Servo,MVP,Fairway Driver,"7, 5, -1, 2"
Seva,Kastaplast,Mid-Range,""
Shadow,Discraft,Fairway Driver,""
Shadow Extra,Discraft,Fairway Driver,""
Shaman,Gateway,Putt & Approach,"3, 3, -1, 1"
Shark,Innova,Mid-Range,"4, 4, 0, 2"
Shark3,Innova,Mid-Range,"5, 4, 0, 2"
Sharpshooter #1,Aerobie,Fairway Driver,""
Sharpshooter #2,Aerobie,Mid-Range,""
Sharpshooter #3,Aerobie,Putt & Approach,""
Sheriff,Dynamic Discs,Distance Driver,"13, 5, -1, 2"
Shield,Westside,Putt & Approach,"3, 3, 0, 1"
Shock,MVP,Fairway Driver,"8, 5, 0, 2"
Shockwave,DGA,Mid-Range,"4, 2, 0, 3"
Shogun,Discmania,Putt & Approach,"2, 4, 0, 2"
Shooting Star,Galaxy,Fairway Driver,""
Shryke,Innova,Distance Driver,"13, 6, -2, 2"
Shu,Yikun,Mid-Range,"4, 5, -2, 1"
Sidewinder,Innova,Distance Driver,"9, 5, -3, 1"
Signal,MVP,Fairway Driver,"6, 5, -3, 1"
Sinus,Latitude 64,Putt & Approach,"2, 2, 0, 2"
Siren,Gateway,Distance Driver,"13, 5, -2, 1"
Skeeter,Innova,Mid-Range,"5, 5, -1, 1"
Slab,Infinite Discs,Distance Driver,"12, 3, 0, 4"
SLAIDi,Prodiscus,Distance Driver,"12, 5, 0, 3"
Slammer,Dynamic Discs,Putt & Approach,"3, 2, 0, 3"
Slayer,Gateway,Distance Driver,"13, 5, -1, 2"
Sleipner,Guru,Distance Driver,""
Sling,Westside,Mid-Range,"5, 5, 0, 1"
Slipstream-GT,Discraft,Fairway Driver,""
Sniper,CHING,Mid-Range,""
Sol,Discraft,Mid-Range,"4, 5, -3, 0"
SoL (Ace Race 2018),Discraft,Mid-Range,""
Solace,Vibram,Distance Driver,"13, 4, 0, 4"
Sole,Vibram,Putt & Approach,"2, 3, 0, 2"
Sonic,Innova,Putt & Approach,"1, 2, -4, 0"
Sorcerer,Westside,Distance Driver,"13, 5, 0, 3"
Spark,Latitude 64,Fairway Driver,"7, 4, 0, 2"
Sparta,Prodiscus,Putt & Approach,"3, 3, 0, 0"
Spear,Gateway,Fairway Driver,"9, 6, -2, 1"
Spectra,Discraft,Distance Driver,"12, 5, -2, 2"
Speed Demon,Gateway,Distance Driver,"12, 3, 0, 4"
Sphinx,Infinite Discs,Fairway Driver,"9, 6, -3, 1"
Spider,Innova,Mid-Range,"5, 3, 0, 1"
Spike,Latitude 64,Putt & Approach,"4, 3, -1, 1"
Spin,MVP,Putt & Approach,"3, 4, -2, 0"
Spirit,Gateway,Distance Driver,"12, 4, 0, 4"
Splinter,Obsidian Discs,Putt & Approach,""
Spring Ox,Dismania,Mid-Range,""
Squall,DGA,Mid-Range,"6, 4, -1, 1"
Stabilizer,Streamline,Putt & Approach,"3, 4, 0, 3"
Stag,Westside,Fairway Driver,"8, 6, -1, 2"
Stal,Kastaplast,Fairway Driver,"9, 4, 0, 3"
Stalker,Discraft,Fairway Driver,"7, 5, -1, 2"
Starfire,Innova,Distance Driver,"10, 5, -1, 2"
Starfire-L (SL),Innova,Distance Driver,""
STARi,Prodiscus,Mid-Range,"5, 4, -2, 1"
Steady,DGA,Putt & Approach,"2, 3, 0, 1"
Steady BL,DGA,Putt & Approach,"2, 4, 0, 2"
Stego,Reptilian Disc Golf,Putt & Approach,"3, 1, 1, 4"
Stiletto,Latitude 64,Distance Driver,"13, 3, 0, 5"
Sting,Discraft,Fairway Driver,"7, 5, -2, 1"
Stinger,CHING,Mid-Range,""
Stingray,Innova,Mid-Range,"4, 5, -3, 1"
Storm,Discraft,Fairway Driver,""
Stratus,Discraft,Mid-Range,"5, 5, -3, 1"
Striker,Latitude 64,Distance Driver,"8, 5, 0, 2"
Stud,Innova,Putt & Approach,"3, 3, 0, 2"
Summit,Vibram,Putt & Approach,"2, 3, -1, 0"
Sun Crow,Discmania,Putt & Approach,""
Super Puppy,Destiny Discs,Putt & Approach,""
Super Stingray,Innova,Mid-Range,"4, 5, -1, 1"
Surge,Discraft,Distance Driver,"11, 5, -1, 3"
Surge SS,Discraft,Distance Driver,"11, 5, -1, 2"
Suspect,Dynamic Discs,Mid-Range,"4, 3, 0, 3"
Suture,Salient Discs,Fairway Driver,""
Svea,Kastaplast,Mid-Range,"5, 6, -1, 0"
Swan 1,Westside,Putt & Approach,""
Swan 1 Reborn,Westside,Putt & Approach,"3, 3, -2, 0"
Swan 2,Westside,Putt & Approach,""
Swift,AquaFlight Discs,Fairway Driver,""
Swift Fox,Daredevil,Fairway Driver,"7, 5, -3, 1"
Switch,MVP,Fairway Driver,"7, 5, -1, 1"
Sword,Westside,Distance Driver,"12, 5, 0, 2"
T-Bone,Quest AT,Fairway Driver,"8, 8, -1, 1"
Tachyon LF,Millennium,Fairway Driver,""
Tachyon LS,Millennium,Fairway Driver,""
Tactic,Discmania,Putt & Approach,"4, 2, 0, 3"
Taipan,Fourth Circle,Distance Driver,""
Talon,Discraft,Fairway Driver,"8, 3, 1, 3"
Tangent,MVP,Mid-Range,"4, 4, 0, 0"
Taniwha,RPM Discs,Fairway Driver,"10, 5, -2, 2"
Tank,Hyzer Bomb,Putt & Approach,"2, 2, 0, 2"
Tank (Original),CHING,Putt & Approach,""
Tantrum,Axiom,Distance Driver,"14, 5, -1, 3"
Taurus,Millennium,Mid-Range,"4, 4, 0, 4"
TD Rush,Discmania,Distance Driver,"10, 6, -2, 1"
TD2 Fever,Discmania,Distance Driver,"10, 5, -4, 1"
TDx,Discmania,Distance Driver,"9, 5, -3, 1"
Te Moko,RPM Discs,Mid-Range,""
Teebird,Innova,Fairway Driver,"7, 5, 0, 2"
Teebird-L (TL),Innova,Fairway Driver,""
Teebird3,Innova,Fairway Driver,"8, 4, 0, 2"
TeeDevil,Innova,Distance Driver,"12, 5, -1, 2"
TeeRex,Innova,Distance Driver,"11, 4, 0, 4"
TeeRex-X,Innova,Distance Driver,""
Teleport,MVP,Distance Driver,"14, 5, -1, 2"
Tempest,DGA,Distance Driver,"13, 5, -3, 2"
Tempest (DKG),DKG,Distance Driver,""
Tenacity,Axiom,Distance Driver,"13, 5, -2, 2"
Tensor,MVP,Mid-Range,"4, 4, 0, 2"
Terminator,Quest AT,Distance Driver,""
Tern,Innova,Distance Driver,"12, 6, -2, 2"
Terrapin,Paradigm,Mid-Range,""
Tesla,MVP,Distance Driver,"10, 4, 0, 2"
The Bat,Fly-by-nite,Fairway Driver,""
The Mission,ABC,Mid-Range,""
The Owl,Fly-by-nite,Fairway Driver,""
The Wheel,Quest AT,Putt & Approach,""
Theory,Axiom,Mid-Range,"4, 4, -1, 1"
Thief,Dynamic Discs,Fairway Driver,"8, 5, -1, 2"
Thor,Guru,Mid-Range,""
Thrasher,Discraft,Fairway Driver,"12, 5, -3, 2"
Thrill,Axiom,Distance Driver,"11, 4, 0, 3"
Thunder God Thor,Viking,Distance Driver,""
Thunderbird,Innova,Fairway Driver,"9, 5, 0, 2"
Tiger,Paradigm,Fairway Driver,""
Timberwolf,Daredevil,Fairway Driver,"8, 5, -1, 1"
Titan,Prodiscus,Distance Driver,"10, 4, 0, 3"
Titanic,DGA,Putt & Approach,"2, 2, 0, 2"
TL3,Innova,Fairway Driver,"8, 4, -1, 1"
Tomahawk (八 钺),YiKun,Mid-Range,"[0, 0, 0, 0]"
Tomb,Infinite Discs,Putt & Approach,"3, 4, 0, 1"
Torrent,DGA,Distance Driver,"14, 5, -1, 2"
Touch,Salient Discs,Putt & Approach,""
Touchline Bank,Wham-O,Fairway Driver,""
Touchline Over,Wham-O,Fairway Driver,""
Touchline Putter,Wham-O,Putt & Approach,""
Touchline True,Wham-O,Mid-Range,""
Touchline Under,Wham-O,Distance Driver,""
Trace,Streamline,Distance Driver,"11, 5, -1, 2"
Tracer,Discraft,Fairway Driver,""
Tracker,Discraft,Fairway Driver,"8, 5, -1, 3"
Train Wreck,Fly High Discs,Distance Driver,""
Trak,Vibram,Fairway Driver,"7, 4, -1, 2"
Transcend,Discwing,Mid-Range,""
Transition,Eurodisc,Mid-Range,""
Transporter,Eurodisc,Fairway Driver,""
Traveler,Full Turn Discs,Fairway Driver,""
Tremor,DGA,Mid-Range,"6, 5, -4, 1"
Trespass,Dynamic Discs,Distance Driver,"12, 5, -1, 3"
Trident,Latitude 64,Fairway Driver,"6, 4, 0, 3"
Truth,Dynamic Discs,Mid-Range,"5, 5, -1, 1"
Tsunami,DGA,Distance Driver,"10, 3, 0, 4"
Tui,RPM Discs,Fairway Driver,"3, 4, -1, 0"
Turbo Putt,Quest AT,Putt & Approach,"4, 1, -2, 2"
Tursas,Westside,Mid-Range,"5, 5, -2, 1"
Twin Swords,YiKun,Distance Driver,"12, 5, 0, 2"
Typhoon,Discraft,Fairway Driver,""
Tyrant,Reptilian Disc Golf,Fairway Driver,"7, 3, 0, 2"
U-2,Lightning,Putt & Approach,""
Undertaker,Discraft,Fairway Driver,"9, 5, -1, 2"
Undertow,DGA,Fairway Driver,"10, 4, -1, 1"
Underworld,Westside,Fairway Driver,"7, 6, -3, 1"
unLace,Vibram,Distance Driver,"14, 6, -5, 1"
Upshot,Lightning,Putt & Approach,""
Uranium,Element Discs,Mid-Range,"4, 2, 0, 2"
Vaccine,Salient Discs,Mid-Range,""
Valkyrie,Innova,Distance Driver,"9, 4, -2, 2"
Valley,Vibram,Fairway Driver,"7, 5, -1, 1"
Valor,Legacy,Mid-Range,"5, 5, 0, 2"
Vamp,Vibram,Fairway Driver,"7, 5, -2, 1"
Vandal,Dynamic Discs,Fairway Driver,"9, 5, -1, 2"
Vanish,Axiom,Distance Driver,"11, 5, -3, 2"
VCobra,Innova,Mid-Range,"5, 5, -1, 2"
Vector,MVP,Mid-Range,"5, 4, 0, 2"
Vein,Salient Discs,Fairway Driver,""
Velociraptor,Reptilian Disc Golf,Fairway Driver,"9, 4, 0, 2"
Velocity,CHING,Fairway Driver,"8, 5, -2, 2"
Vengeance,Legacy,Distance Driver,"10, 5, 0, 2"
Venom,Discraft,Distance Driver,"12, 4, 0, 4"
Verdict,Dynamic Discs,Mid-Range,"5, 4, 0, 3"
Vertex,MVP,Fairway Driver,"4, 4, -2, 0"
Veteran,Hyzer Bomb,Fairway Driver,"7, 4, 0, 1"
View,YiKun,Fairway Driver,"7, 6, 0, 1"
Viking,Innova,Distance Driver,"9, 4, -1, 2"
Villain,Latitude 64,Distance Driver,"12, 4, 0, 4"
Viper,Innova,Fairway Driver,"6, 4, 1, 5"
Virus,Axiom,Distance Driver,"9, 5, -3, 1"
Vision,Latitude 64,Fairway Driver,"8, 6, -1, 2"
Volt,MVP,Fairway Driver,"8, 5, 0, 2"
Voodoo,Gateway,Putt & Approach,"2, 3, 0, 0"
Vortex,Discraft,Fairway Driver,""
Voyage,Full Turn Discs,Distance Driver,""
